"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2021","169.04","150.85","172.65","139.92","463.99M","11.99%"
"09/19/2021","150.94","181.34","181.65","141.81","488.99M","-16.76%"
"09/12/2021","181.33","178.53","233.81","170.92","489.14M","1.57%"
"09/05/2021","178.52","212.02","232.27","163.42","312.44M","-15.89%"
"08/29/2021","212.24","175.48","224.99","165.74","200.99M","20.96%"
"08/22/2021","175.46","179.70","191.26","165.04","256.70M","-2.36%"
"08/15/2021","179.70","182.79","188.74","162.75","273.55M","-1.65%"
"08/08/2021","182.71","155.98","184.95","145.35","186.15M","17.08%"
"08/01/2021","156.06","144.09","156.30","135.68","78.14M","7.86%"
"07/25/2021","144.69","125.89","146.48","123.78","75.19M","15.26%"
"07/18/2021","125.53","119.87","127.40","104.05","95.61M","4.72%"
"07/11/2021","119.87","133.99","139.68","117.70","103.73M","-10.53%"
"07/04/2021","133.98","140.01","148.06","127.80","83.88M","-4.30%"
"06/27/2021","140.01","126.82","149.13","124.71","67.76M","10.40%"
"06/20/2021","126.81","152.60","156.11","105.12","103.50M","-16.88%"
"06/13/2021","152.57","161.70","181.11","151.67","108.63M","-5.61%"
"06/06/2021","161.63","172.99","182.21","145.86","129.50M","-6.56%"
"05/30/2021","172.99","163.89","197.60","155.27","167.62M","5.80%"
"05/23/2021","163.50","169.43","208.58","118.47","153.84M","-3.49%"
"05/16/2021","169.42","299.78","323.78","145.88","1.26B","-43.43%"
"05/09/2021","299.50","347.13","412.80","291.62","1.52B","-13.70%"
"05/02/2021","347.03","276.76","372.26","264.91","1.44B","25.39%"
"04/25/2021","276.75","224.94","278.47","211.33","1.18B","22.89%"
"04/18/2021","225.20","301.08","304.46","207.38","1.61B","-25.17%"
"04/11/2021","300.93","256.27","335.27","240.17","774.69M","17.43%"
"04/04/2021","256.27","195.21","256.37","192.37","1.38B","31.26%"
"03/28/2021","195.23","184.08","217.66","180.07","1.14B","6.07%"
"03/21/2021","184.06","200.08","201.80","167.92","1.04B","-7.97%"
"03/14/2021","199.99","226.04","228.04","191.63","633.36M","-11.59%"
"03/07/2021","226.21","182.84","230.09","179.61","877.50M","23.74%"
"02/28/2021","182.82","171.85","196.10","153.95","949.50M","6.37%"
"02/21/2021","171.87","226.83","233.58","157.99","1.01B","-24.45%"
"02/14/2021","227.50","226.01","247.07","185.65","1.44B","0.69%"
"02/07/2021","225.94","155.57","228.82","145.27","1.12B","45.40%"
"01/31/2021","155.39","133.38","164.03","125.70","839.37M","16.53%"
"01/24/2021","133.35","137.65","147.61","118.29","755.29M","-3.12%"
"01/17/2021","137.64","143.54","166.05","122.88","2.44B","-4.10%"
"01/10/2021","143.53","177.19","185.67","112.90","3.08B","-18.99%"
"01/03/2021","177.18","136.93","181.85","135.40","3.09B","29.53%"
"12/27/2020","136.78","129.66","140.65","120.06","1.97B","5.52%"
"12/20/2020","129.62","119.87","135.13","95.36","2.05B","8.16%"
"12/13/2020","119.84","76.67","124.04","75.52","1.41B","56.34%"
"12/06/2020","76.66","83.15","86.79","70.01","983.89M","-7.82%"
"11/29/2020","83.15","72.68","92.88","71.53","1.32B","14.41%"
"11/22/2020","72.68","87.19","93.95","64.51","1.46B","-16.60%"
"11/15/2020","87.15","63.80","88.38","61.04","64.35M","36.62%"
"11/08/2020","63.79","58.86","66.67","57.08","56.22M","8.38%"
"11/01/2020","58.86","55.73","64.76","51.50","63.66M","5.61%"
