"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2021","144.69","145.56","146.48","141.89","18.53M","-0.61%"
"07/30/2021","145.58","141.29","145.75","135.95","18.93M","3.04%"
"07/29/2021","141.29","140.26","142.95","136.86","544.09K","0.99%"
"07/28/2021","139.90","134.75","141.93","132.67","728.40K","3.84%"
"07/27/2021","134.73","131.11","135.00","127.47","17.75M","2.77%"
"07/26/2021","131.09","127.71","140.32","126.98","19.30M","2.75%"
"07/25/2021","127.59","125.89","127.96","123.78","120.65K","1.64%"
"07/24/2021","125.53","124.15","127.40","123.84","15.64M","1.04%"
"07/23/2021","124.24","120.72","124.62","117.07","15.75M","2.91%"
"07/22/2021","120.72","117.69","121.99","115.68","15.73M","2.64%"
"07/21/2021","117.61","107.25","119.16","105.16","15.92M","9.64%"
"07/20/2021","107.27","113.10","115.02","104.05","766.19K","-5.15%"
"07/19/2021","113.10","119.16","120.68","111.86","16.46M","-5.10%"
"07/18/2021","119.17","119.87","124.02","116.41","15.75M","-0.58%"
"07/17/2021","119.87","120.59","122.82","117.70","608.60K","-0.60%"
"07/16/2021","120.59","125.65","127.79","120.43","16.88M","-4.02%"
"07/15/2021","125.64","131.06","133.08","122.07","17.13M","-4.13%"
"07/14/2021","131.06","131.42","132.39","124.07","17.68M","-0.27%"
"07/13/2021","131.41","133.39","134.59","129.54","17.68M","-1.51%"
"07/12/2021","133.42","134.16","139.68","132.01","18.63M","-0.55%"
"07/11/2021","134.16","133.99","136.42","132.09","162.24K","0.13%"
"07/10/2021","133.98","134.54","136.70","130.51","17.88M","-0.41%"
"07/09/2021","134.54","130.53","135.73","127.80","15.99M","3.07%"
"07/08/2021","130.53","137.40","137.70","127.90","13.56M","-4.99%"
"07/07/2021","137.39","138.91","142.91","136.96","13.82M","-1.10%"
"07/06/2021","138.91","137.70","142.67","135.70","13.31M","0.85%"
"07/05/2021","137.74","144.92","144.96","134.12","13.11M","-4.94%"
"07/04/2021","144.90","140.01","148.06","138.95","13.76M","3.50%"
"07/03/2021","140.01","136.84","141.23","134.66","12.01M","2.32%"
"07/02/2021","136.84","137.16","138.90","130.66","12.49M","-0.23%"
"07/01/2021","137.16","144.15","144.27","134.31","2.24M","-4.85%"
